,efp,ado
26,4_5_8,0.6666666666666666
23,4_4_3,0.6666666666666666
25,4_5_7,0.6574074074074074
40,5_5_8,0.6574074074074074
11,3_5_2,0.6574074074074074
10,3_4_2,0.6574074074074074
24,4_5_6,0.6388888888888888
29,4_5_10,0.6388888888888888
42,5_5_10,0.6296296296296297
14,4_5_0,0.6296296296296297
8,3_4_1,0.6296296296296297
5,3_2_0,0.6296296296296297
7,3_4_0,0.6296296296296297
32,5_4_1,0.6203703703703703
46,6_5_4,0.6203703703703703
39,5_5_6,0.6203703703703703
15,4_5_1,0.6203703703703703
35,5_5_3,0.6203703703703703
18,4_4_2,0.6203703703703703
20,4_5_3,0.6203703703703703
21,4_5_4,0.6203703703703703
22,4_5_5,0.6203703703703703
4,2_5_0,0.6203703703703703
45,6_5_3,0.6111111111111112
34,5_5_2,0.6111111111111112
36,5_4_2,0.6111111111111112
44,6_5_1,0.6111111111111112
31,5_5_0,0.6111111111111112
47,6_5_5,0.6111111111111112
9,3_5_1,0.6111111111111112
27,4_4_4,0.6111111111111112
3,2_4_0,0.6111111111111112
13,4_4_0,0.6111111111111112
28,4_5_9,0.6018518518518519
1,2_2_0,0.6018518518518519
33,5_5_1,0.6018518518518519
19,4_5_2,0.6018518518518519
17,4_4_1,0.6018518518518519
6,3_3_0,0.6018518518518519
43,6_5_0,0.6018518518518519
2,2_3_0,0.5925925925925926
38,5_5_5,0.5925925925925926
41,5_5_9,0.5925925925925926
37,5_5_4,0.5925925925925926
16,4_3_1,0.5925925925925926
12,4_3_0,0.5833333333333334
30,5_4_0,0.5833333333333334
0,1_0_0,0.42592592592592593
