,efp,ado
48,6_5_2,0.5803571428571429
20,4_4_2,0.5714285714285714
22,4_5_3,0.5714285714285714
8,3_4_1,0.5535714285714286
45,5_5_10,0.5535714285714286
7,3_4_0,0.5535714285714286
19,4_4_1,0.5535714285714286
49,6_5_3,0.5535714285714286
18,4_3_1,0.5446428571428571
38,5_4_2,0.5446428571428571
24,4_5_5,0.5446428571428571
1,2_2_0,0.5446428571428571
39,5_5_4,0.5446428571428571
37,5_5_3,0.5446428571428571
21,4_5_2,0.5446428571428571
29,4_4_4,0.5446428571428571
51,6_5_5,0.5446428571428571
15,4_4_0,0.5446428571428571
40,5_5_5,0.5446428571428571
42,5_5_7,0.5446428571428571
43,5_5_8,0.5446428571428571
12,3_5_2,0.5446428571428571
10,3_5_1,0.5446428571428571
9,3_5_0,0.5446428571428571
4,2_5_0,0.5446428571428571
3,2_4_0,0.5446428571428571
2,2_3_0,0.5446428571428571
31,4_5_10,0.5357142857142857
44,5_5_9,0.5357142857142857
36,5_5_2,0.5357142857142857
35,5_5_1,0.5357142857142857
26,4_5_6,0.5357142857142857
5,3_2_0,0.5357142857142857
30,4_5_9,0.5357142857142857
28,4_5_8,0.5357142857142857
23,4_5_4,0.5357142857142857
13,3_5_3,0.5357142857142857
50,6_5_4,0.5267857142857143
6,3_3_0,0.5267857142857143
47,6_5_1,0.5267857142857143
11,3_4_2,0.5267857142857143
41,5_5_6,0.5267857142857143
25,4_4_3,0.5267857142857143
34,5_4_1,0.5267857142857143
33,5_5_0,0.5178571428571429
27,4_5_7,0.5178571428571429
17,4_5_1,0.5089285714285714
16,4_5_0,0.5
14,4_3_0,0.49107142857142855
46,6_5_0,0.48214285714285715
32,5_4_0,0.4642857142857143
0,1_0_0,0.42857142857142855
