,efp,ado
9,3_5_0,0.6701030927835051
10,3_5_1,0.6701030927835051
4,2_5_0,0.6701030927835051
38,5_4_2,0.6597938144329897
16,4_5_0,0.6597938144329897
47,6_5_1,0.6597938144329897
17,4_5_1,0.6597938144329897
33,5_5_0,0.6494845360824743
7,3_4_0,0.6494845360824743
8,3_4_1,0.6494845360824743
3,2_4_0,0.6494845360824743
30,4_5_9,0.6494845360824743
29,4_4_4,0.6494845360824743
1,2_2_0,0.6494845360824743
14,4_3_0,0.6494845360824743
21,4_5_2,0.6391752577319587
48,6_5_3,0.6391752577319587
41,5_5_6,0.6391752577319587
50,6_5_5,0.6391752577319587
5,3_2_0,0.6391752577319587
18,4_3_1,0.6391752577319587
15,4_4_0,0.6391752577319587
49,6_5_4,0.6391752577319587
19,4_4_1,0.6288659793814433
44,5_5_9,0.6288659793814433
2,2_3_0,0.6288659793814433
40,5_5_5,0.6288659793814433
39,5_5_4,0.6288659793814433
6,3_3_0,0.6288659793814433
24,4_5_5,0.6288659793814433
22,4_5_3,0.6288659793814433
23,4_5_4,0.6288659793814433
32,5_4_0,0.6185567010309279
20,4_4_2,0.6185567010309279
35,5_5_1,0.6185567010309279
36,5_5_2,0.6185567010309279
46,6_5_0,0.6185567010309279
31,4_5_10,0.6082474226804123
34,5_4_1,0.6082474226804123
37,5_5_3,0.6082474226804123
26,4_5_6,0.6082474226804123
42,5_5_7,0.6082474226804123
43,5_5_8,0.5979381443298969
28,4_5_8,0.5979381443298969
27,4_5_7,0.5979381443298969
45,5_5_10,0.5876288659793815
11,3_4_2,0.5773195876288659
12,3_5_2,0.5670103092783505
25,4_4_3,0.5567010309278351
13,3_5_3,0.5567010309278351
0,1_0_0,0.5360824742268041
