,efp,ado
1,2_1_0,0.6129032258064516
27,4_4_3,0.5913978494623656
20,4_3_1,0.5913978494623656
51,6_5_3,0.5913978494623656
47,5_5_10,0.5913978494623656
45,5_5_8,0.5913978494623656
43,5_5_6,0.5913978494623656
33,4_5_10,0.5913978494623656
29,4_5_7,0.5913978494623656
28,4_5_6,0.5913978494623656
22,4_4_2,0.5913978494623656
30,4_5_8,0.5806451612903226
23,4_5_2,0.5806451612903226
53,6_5_5,0.5806451612903226
13,3_4_2,0.5806451612903226
31,4_4_4,0.5698924731182796
2,2_2_0,0.5698924731182796
50,6_5_2,0.5698924731182796
36,5_4_1,0.5698924731182796
21,4_4_1,0.5698924731182796
12,3_3_1,0.5698924731182796
3,2_3_0,0.5698924731182796
24,4_5_3,0.5698924731182796
25,4_5_4,0.5698924731182796
26,4_5_5,0.5698924731182796
44,5_5_7,0.5698924731182796
8,3_4_0,0.5591397849462365
37,5_5_1,0.5591397849462365
40,5_4_2,0.5591397849462365
38,5_5_2,0.5591397849462365
41,5_5_4,0.5591397849462365
42,5_5_5,0.5591397849462365
46,5_5_9,0.5591397849462365
4,2_4_0,0.5591397849462365
32,4_5_9,0.5591397849462365
10,3_5_0,0.5591397849462365
9,3_4_1,0.5483870967741935
39,5_5_3,0.5483870967741935
11,3_5_1,0.5483870967741935
52,6_5_4,0.5483870967741935
35,5_5_0,0.5376344086021505
7,3_3_0,0.5376344086021505
49,6_5_1,0.5376344086021505
14,3_5_2,0.5376344086021505
0,1_0_0,0.5268817204301075
15,3_5_3,0.5268817204301075
19,4_5_1,0.5268817204301075
18,4_5_0,0.5268817204301075
5,2_5_0,0.5161290322580645
48,6_5_0,0.5161290322580645
16,4_3_0,0.5161290322580645
6,3_2_0,0.5053763440860215
17,4_4_0,0.5053763440860215
34,5_4_0,0.5053763440860215
