,efp,ado
48,6_5_2,0.5983606557377049
0,2_2_0,0.5901639344262295
20,4_4_2,0.5901639344262295
22,4_5_3,0.5901639344262295
45,5_5_10,0.5901639344262295
29,4_4_4,0.5901639344262295
18,4_3_1,0.5819672131147541
19,4_4_1,0.5819672131147541
2,2_4_0,0.5819672131147541
7,3_4_1,0.5737704918032787
42,5_5_7,0.5737704918032787
38,5_4_2,0.5737704918032787
6,3_4_0,0.5737704918032787
49,6_5_3,0.5737704918032787
43,5_5_8,0.5737704918032787
34,5_4_1,0.5655737704918032
1,2_3_0,0.5655737704918032
51,6_5_5,0.5655737704918032
3,2_5_0,0.5655737704918032
8,3_5_0,0.5655737704918032
9,3_5_1,0.5655737704918032
37,5_5_3,0.5573770491803278
40,5_5_5,0.5573770491803278
15,4_4_0,0.5573770491803278
21,4_5_2,0.5573770491803278
23,4_5_4,0.5573770491803278
24,4_5_5,0.5573770491803278
4,3_2_0,0.5573770491803278
10,3_3_1,0.5573770491803278
39,5_5_4,0.5573770491803278
30,4_5_9,0.5573770491803278
17,4_5_1,0.5491803278688525
44,5_5_9,0.5491803278688525
36,5_5_2,0.5491803278688525
5,3_3_0,0.5491803278688525
35,5_5_1,0.5491803278688525
11,3_4_2,0.5491803278688525
16,4_5_0,0.5409836065573771
31,4_5_10,0.5409836065573771
41,5_5_6,0.5409836065573771
12,3_5_2,0.5409836065573771
28,4_5_8,0.5409836065573771
13,3_5_3,0.5409836065573771
47,6_5_1,0.5409836065573771
50,6_5_4,0.5409836065573771
26,4_5_6,0.5409836065573771
33,5_5_0,0.5245901639344263
32,5_4_0,0.5245901639344263
27,4_5_7,0.5245901639344263
25,4_4_3,0.5245901639344263
46,6_5_0,0.5081967213114754
14,4_3_0,0.5081967213114754
