,efp,ado
26,4_4_4,0.616822429906542
1,2_2_0,0.616822429906542
21,4_5_4,0.6074766355140186
35,5_4_2,0.6074766355140186
4,2_5_0,0.6074766355140186
5,3_2_0,0.6074766355140186
46,6_5_5,0.5981308411214953
40,5_5_9,0.5981308411214953
36,5_5_4,0.5981308411214953
7,3_4_0,0.5981308411214953
6,3_3_0,0.5981308411214953
8,3_4_1,0.5981308411214953
44,6_5_3,0.5887850467289719
43,6_5_1,0.5887850467289719
2,2_3_0,0.5887850467289719
34,5_5_3,0.5887850467289719
33,5_5_2,0.5887850467289719
16,4_3_1,0.5887850467289719
17,4_4_1,0.5887850467289719
37,5_5_5,0.5887850467289719
32,5_5_1,0.5887850467289719
31,5_4_1,0.5887850467289719
3,2_4_0,0.5887850467289719
45,6_5_4,0.5887850467289719
27,4_5_9,0.5887850467289719
9,3_5_1,0.5794392523364486
22,4_5_5,0.5794392523364486
20,4_5_3,0.5794392523364486
14,4_5_0,0.5794392523364486
13,4_4_0,0.5794392523364486
25,4_5_7,0.5700934579439252
38,5_5_6,0.5700934579439252
19,4_5_2,0.5700934579439252
15,4_5_1,0.5700934579439252
18,4_4_2,0.5700934579439252
41,5_5_10,0.5607476635514018
39,5_5_8,0.5607476635514018
23,4_4_3,0.5607476635514018
30,5_5_0,0.5607476635514018
28,4_5_10,0.5607476635514018
24,4_5_6,0.5607476635514018
29,5_4_0,0.5514018691588785
42,6_5_0,0.5514018691588785
12,4_3_0,0.5514018691588785
11,3_5_2,0.5514018691588785
10,3_4_2,0.5327102803738317
0,1_0_0,0.42990654205607476
