,efp,ado
12,3_5_3,0.5384615384615384
11,3_5_2,0.5384615384615384
9,3_5_1,0.5299145299145299
26,4_5_7,0.5299145299145299
25,4_5_6,0.5213675213675214
30,4_5_10,0.5213675213675214
32,5_5_0,0.5213675213675214
40,5_5_6,0.5213675213675214
27,4_5_8,0.5213675213675214
4,2_5_0,0.5213675213675214
8,3_4_1,0.5128205128205128
15,4_5_0,0.5128205128205128
41,5_5_7,0.5128205128205128
10,3_4_2,0.5128205128205128
16,4_5_1,0.5128205128205128
17,4_3_1,0.5128205128205128
45,6_5_0,0.5128205128205128
42,5_5_8,0.5042735042735043
7,3_4_0,0.5042735042735043
21,4_5_3,0.5042735042735043
24,4_4_3,0.5042735042735043
46,6_5_1,0.49572649572649574
36,5_5_3,0.49572649572649574
47,6_5_3,0.49572649572649574
48,6_5_4,0.49572649572649574
44,5_5_10,0.49572649572649574
49,6_5_5,0.49572649572649574
3,2_4_0,0.49572649572649574
6,3_3_0,0.49572649572649574
14,4_4_0,0.49572649572649574
1,2_2_0,0.48717948717948717
28,4_4_4,0.48717948717948717
13,4_3_0,0.48717948717948717
39,5_5_5,0.48717948717948717
38,5_5_4,0.48717948717948717
31,5_4_0,0.48717948717948717
35,5_5_2,0.47863247863247865
20,4_5_2,0.47863247863247865
37,5_4_2,0.47863247863247865
34,5_5_1,0.47863247863247865
43,5_5_9,0.47863247863247865
22,4_5_4,0.4700854700854701
23,4_5_5,0.4700854700854701
29,4_5_9,0.4700854700854701
19,4_4_2,0.46153846153846156
18,4_4_1,0.46153846153846156
5,3_2_0,0.46153846153846156
2,2_3_0,0.46153846153846156
33,5_4_1,0.452991452991453
0,1_0_0,0.39316239316239315
