,efp,ado
37,5_5_6,0.5315315315315315
27,4_5_10,0.5135135135135135
24,4_5_6,0.5135135135135135
34,5_4_2,0.5045045045045045
29,5_5_0,0.5045045045045045
5,3_2_0,0.5045045045045045
43,6_5_3,0.5045045045045045
42,6_5_1,0.5045045045045045
38,5_5_8,0.5045045045045045
17,4_4_1,0.5045045045045045
16,4_3_1,0.5045045045045045
14,4_5_0,0.4954954954954955
28,5_4_0,0.4954954954954955
15,4_5_1,0.4954954954954955
45,6_5_5,0.4954954954954955
40,5_5_10,0.4954954954954955
13,4_4_0,0.4864864864864865
1,2_2_0,0.4864864864864865
35,5_5_4,0.4864864864864865
32,5_5_2,0.4864864864864865
31,5_5_1,0.4864864864864865
3,2_4_0,0.4864864864864865
41,6_5_0,0.4864864864864865
26,4_5_9,0.4864864864864865
22,4_5_5,0.4864864864864865
20,4_5_3,0.4864864864864865
10,3_4_2,0.4864864864864865
18,4_4_2,0.4864864864864865
19,4_5_2,0.4864864864864865
9,3_5_1,0.4774774774774775
39,5_5_9,0.4774774774774775
12,4_3_0,0.4774774774774775
4,2_5_0,0.4774774774774775
21,4_5_4,0.4774774774774775
30,5_4_1,0.4774774774774775
33,5_5_3,0.4774774774774775
36,5_5_5,0.4774774774774775
44,6_5_4,0.46846846846846846
23,4_4_3,0.46846846846846846
11,3_5_2,0.46846846846846846
6,3_3_0,0.46846846846846846
2,2_3_0,0.46846846846846846
25,4_5_7,0.4594594594594595
7,3_4_0,0.4594594594594595
8,3_4_1,0.45045045045045046
0,1_0_0,0.40540540540540543
