,efp,ado
34,5_4_2,0.5740740740740741
17,4_4_1,0.5740740740740741
1,2_2_0,0.5740740740740741
33,5_5_3,0.5740740740740741
44,6_5_5,0.5648148148148148
16,4_3_1,0.5648148148148148
26,4_5_9,0.5648148148148148
18,4_4_2,0.5648148148148148
38,5_5_9,0.5648148148148148
35,5_5_4,0.5555555555555556
36,5_5_5,0.5555555555555556
27,4_5_10,0.5555555555555556
24,4_5_6,0.5555555555555556
39,5_5_10,0.5555555555555556
9,3_5_1,0.5555555555555556
20,4_5_3,0.5462962962962963
37,5_5_8,0.5462962962962963
25,4_5_7,0.5462962962962963
42,6_5_3,0.5462962962962963
22,4_5_5,0.5462962962962963
3,2_4_0,0.5462962962962963
10,3_4_2,0.5462962962962963
19,4_5_2,0.5370370370370371
41,6_5_1,0.5370370370370371
4,2_5_0,0.5370370370370371
6,3_3_0,0.5370370370370371
7,3_4_0,0.5370370370370371
21,4_5_4,0.5370370370370371
30,5_4_1,0.5370370370370371
14,4_5_0,0.5370370370370371
15,4_5_1,0.5370370370370371
2,2_3_0,0.5370370370370371
29,5_5_0,0.5277777777777778
31,5_5_1,0.5277777777777778
12,4_3_0,0.5277777777777778
8,3_4_1,0.5277777777777778
5,3_2_0,0.5277777777777778
23,4_4_3,0.5277777777777778
28,5_4_0,0.5185185185185185
11,3_5_2,0.5185185185185185
43,6_5_4,0.5185185185185185
32,5_5_2,0.5092592592592593
13,4_4_0,0.5092592592592593
40,6_5_0,0.5
0,1_0_0,0.37962962962962965
