,efp,ado
11,3_3_1,0.5656565656565656
28,4_5_7,0.5454545454545454
27,4_5_6,0.5353535353535354
29,4_5_8,0.5353535353535354
32,4_5_10,0.5353535353535354
44,5_5_8,0.5353535353535354
43,5_5_7,0.5353535353535354
24,4_5_4,0.5252525252525253
13,3_5_2,0.5151515151515151
25,4_5_5,0.5151515151515151
22,4_5_2,0.5151515151515151
31,4_5_9,0.5151515151515151
26,4_4_3,0.5151515151515151
46,5_5_10,0.5151515151515151
2,2_3_0,0.5151515151515151
14,3_5_3,0.5151515151515151
12,3_4_2,0.5050505050505051
49,6_5_2,0.5050505050505051
4,2_5_0,0.5050505050505051
42,5_5_6,0.494949494949495
19,4_3_1,0.494949494949495
50,6_5_3,0.494949494949495
3,2_4_0,0.494949494949495
17,4_5_0,0.48484848484848486
18,4_5_1,0.48484848484848486
20,4_4_1,0.48484848484848486
23,4_5_3,0.48484848484848486
30,4_4_4,0.47474747474747475
52,6_5_5,0.47474747474747475
1,2_2_0,0.47474747474747475
7,3_4_0,0.47474747474747475
9,3_5_0,0.47474747474747475
10,3_5_1,0.47474747474747475
21,4_4_2,0.47474747474747475
40,5_5_4,0.46464646464646464
5,3_2_0,0.46464646464646464
45,5_5_9,0.46464646464646464
8,3_4_1,0.46464646464646464
41,5_5_5,0.46464646464646464
38,5_5_3,0.46464646464646464
35,5_4_1,0.46464646464646464
34,5_5_0,0.46464646464646464
37,5_5_2,0.45454545454545453
36,5_5_1,0.45454545454545453
15,4_3_0,0.45454545454545453
48,6_5_1,0.45454545454545453
6,3_3_0,0.45454545454545453
16,4_4_0,0.45454545454545453
51,6_5_4,0.45454545454545453
39,5_4_2,0.4444444444444444
47,6_5_0,0.43434343434343436
33,5_4_0,0.42424242424242425
0,1_0_0,0.42424242424242425
